2026-05-30 00:37:54,444 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,449 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,449 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,450 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,450 | 192.168.1.57 -> 17.248.239.65 | UDP | 65496 -> 443 | 92 bytes
2026-05-30 00:37:54,451 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,452 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,452 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,453 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,453 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,454 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,454 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,455 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,455 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,455 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,456 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,456 | 17.248.239.10 -> 192.168.1.57 | UDP | 443 -> 54810 | 67 bytes
2026-05-30 00:37:54,457 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,457 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,457 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,458 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
